ep:1, comm. cost: 31201, waiting. cost: 148.0
ep:2, comm. cost: 31579, waiting. cost: 312.0
ep:3, comm. cost: 31530, waiting. cost: 308.0
ep:4, comm. cost: 30511, waiting. cost: 90.0
ep:5, comm. cost: 28224, waiting. cost: 179.0
ep:6, comm. cost: 31150, waiting. cost: 487.0
ep:7, comm. cost: 32610, waiting. cost: 152.0
ep:8, comm. cost: 28244, waiting. cost: 42.0
ep:9, comm. cost: 30182, waiting. cost: 338.0
ep:10, comm. cost: 31568, waiting. cost: 391.0
